time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,Volume,Volume MA,  rsi,rsi2 ,ADX,ATR,SqueezeState,MACD,Signal
2025-10-13T01:00:00+09:00,113096.4,114592,113096.4,113963.7,113352.3875,109364.7525,120157.0655,113853.015,111358.57,NaN,NaN,NaN,NaN,1,1,7590.67977,3100.452915,65.23806211,46.47684333,34.72188924,1.173819182,-1,92.5781309,-323.9952237
2025-10-13T02:00:00+09:00,113963.7,114354.2,113413.4,113701.6,113723.7153,109279.6347,120114.683,113722.5133,111501.675,NaN,NaN,NaN,109470.5,1,1,5093.201426,3239.976373,62.64577937,45.95773453,33.91120059,1.060159676,-1,213.8263699,-230.3337187
2025-10-13T03:00:00+09:00,113701.6,114130,113430.9,113773,114057.2375,109226.1325,120073.098,113596.935,111641.685,NaN,NaN,NaN,NaN,1,1,1984.127127,3208.382389,63.07621029,46.12507251,33.62207522,0.911152625,-1,312.0803877,-136.3794804
2025-10-13T04:00:00+09:00,113773,114303.2,113714,114251.9,114439.8664,109211.2036,120034.6855,113486.2317,111825.535,NaN,NaN,NaN,NaN,1,1,1570.327047,3239.108251,65.91334209,47.24357707,33.89300535,0.77678981,-1,423.7064086,-37.46362063
2025-10-13T05:00:00+09:00,114251.9,115381.2,114246.1,114840.7,114801.9952,109375.8348,119999.0165,113373.9617,112088.915,NaN,NaN,NaN,NaN,1,1,3411.320634,3286.249254,69.06099761,48.58335436,34.72248998,0.844675635,-1,553.3039303,67.70100212
2025-10-13T06:00:00+09:00,114840.7,115555.9,114164.5,114809.7,115099.2984,109569.1216,119961.356,113266.7533,112334.21,NaN,NaN,NaN,NaN,1,1,4128.100539,3359.863514,68.70129279,48.51713254,36.08074824,0.967241973,-1,646.0620578,176.8607379
2025-10-13T07:00:00+09:00,114809.7,115698.4,114809.6,115135.6,115399.6676,109778.7224,119927.2795,113161.6983,112589.195,NaN,NaN,NaN,NaN,1,1,3218.197095,3387.852685,70.44415912,49.25937695,37.74511274,0.900322523,-1,737.3709946,294.9796867
2025-10-13T08:00:00+09:00,115135.6,115274.9,114655,114873.9,115627.0963,109977.4337,119892.918,113051.375,112802.265,NaN,NaN,NaN,NaN,1,1,1935.231099,3108.788369,67.20776658,48.6840102,39.40663968,0.781460795,-1,779.6298939,407.5940361
2025-10-13T09:00:00+09:00,114873.9,115811.9,114671.3,115181.1,115922.8766,110054.0834,119860.426,112945.4333,112988.48,NaN,NaN,NaN,NaN,1,1,2418.854876,3122.372894,69.00776166,49.39235435,41.14537386,0.849673249,-1,828.3600299,509.6575782
2025-10-13T10:00:00+09:00,115181.1,115645,114967.6,115603.2,116261.1485,110113.6215,119829.9135,112845.4533,113187.385,NaN,NaN,NaN,NaN,1,1,1466.23824,3127.454586,71.335943,50.35358688,42.95429644,0.759703881,-1,890.7707059,598.3456421
